ap:aparatA,2691:aparatA:n:
ap:aparatiH,2700:aparatiH:n:
ap:aparatra,2692:aparatra:n:
ap:aparavaH,2701:aparavaH:n:
ap:aparavat,2694:aparavat:n:
ap:aparAk,2703:aparAk:n:
ap:aparAgaH,2699:aparAgaH:n:
ap:aparAjizRu,2706:aparAjizRu:n:
ap:aparAYc,2704:aparAYc:n:
ap:aparAdDiH,2709:aparAdDiH:n:
ap:aparAD,2707:aparAD:n:
ap:apariRAmaH,2725:apariRAmaH:n:
ap:apariRItA,2724:apariRItA:n:
ap:aparinizWita,2727:aparinizWita:n:
ap:aparipara,2726:aparipara:n:
ap:aparisaMsTita,2739:aparisaMsTita:n:
ap:aparisaMKyAnam,2738:aparisaMKyAnam:n:
ap:aparisaMKyAnam,2738:aparisaMKyAnam:n:
ap:aparisara,2737:aparisara:n:
ap:aparUpa,2746:aparUpa:n:
ap:aparedyuH,2696:aparedyuH:n:
ap:apavaraRam,2794:apavaraRam:n:
ap:apavarga,2778:apavarga:n:
ap:apavarjita,2802:apavarjita:n:
ap:apavarta,2779:apavarta:n:
ap:apavartanam,2808:apavartanam:n:
ap:apavalgita,2780:apavalgita:n:
ap:apavah,2781:apavah:n:
ap:apavAcanam,2770:apavAcanam:n:
ap:apavArita,2797:apavArita:n:
ap:apavAsaH,2785:apavAsaH:n:
ap:apavAsaH,2785:apavAsaH:n:
ap:apavAhaH,2782:apavAhaH:n:
ap:apavfktiH,2804:apavfktiH:n:
ap:apavfj,2799:apavfj:n:
ap:apavft,2805:apavft:n:
ap:apavftiH,2798:apavftiH:n:
ap:apaveDaH,2813:apaveDaH:n:
ap:apavoQf,2783:apavoQf:n:
ap:apazwu,2834:apazwu:n:
ap:apazWam,2833:apazWam:n:
ap:apasaraRam,2852:apasaraRam:n:
ap:apasarjanam,2844:apasarjanam:n:
ap:apasarpaRam,2860:apasarpaRam:n:
ap:apasala,2845:apasala:n:
ap:apasAraRam,2854:apasAraRam:n:
ap:apasidDAntaH,2849:apasidDAntaH:n:
ap:apasfj,2856:apasfj:n:
ap:apasfta,2855:apasfta:n:
ap:apasfptiH,2861:apasfptiH:n:
ap:apasfzwa,2857:apasfzwa:n:
ap:apasKalaH,2865:apasKalaH:n:
ap:apastama,2837:apastama:n:
ap:apasparza,2872:apasparza:n:
