ap90:aparAD,2446:aparAD:n:
ap90:apariRAmaH,2461:apariRAmaH:n:
ap90:apariRItA,2460:apariRItA:n:
ap90:aparinizWita,2463:aparinizWita:n:
ap90:aparipara,2462:aparipara:n:
ap90:aparisaMKyAnaM,2474:aparisaMKyAnaM:n:
ap90:aparisara,2473:aparisara:n:
ap90:aparUpa,2481:aparUpa:n:
ap90:aparedyuH,2436:aparedyuH:n:
ap90:apavaraRaM,2524:apavaraRaM:n:
ap90:apavarga,2509:apavarga:n:
ap90:apavarjita,2532:apavarjita:n:
ap90:apavarta,2510:apavarta:n:
ap90:apavartanaM,2538:apavartanaM:n:
ap90:apavah,2511:apavah:n:
ap90:apavah,2511:apavah:n:
ap90:apavAcanaM,2503:apavAcanaM:n:
ap90:apavArita,2527:apavArita:n:
ap90:apavAsaH,2515:apavAsaH:n:
ap90:apavAsaH,2515:apavAsaH:n:
ap90:apavAhaH,2512:apavAhaH:n:
ap90:apavfktiH,2534:apavfktiH:n:
ap90:apavfj,2529:apavfj:n:
ap90:apavft,2535:apavft:n:
ap90:apavftiH,2528:apavftiH:n:
ap90:apaveDaH,2543:apaveDaH:n:
ap90:apavoQf,2513:apavoQf:n:
ap90:apasaraRaM,2581:apasaraRaM:n:
ap90:apasarjanaM,2573:apasarjanaM:n:
ap90:apasarpaRaM,2587:apasarpaRaM:n:
ap90:apasala,2574:apasala:n:
ap90:apasAraRaM,2583:apasAraRaM:n:
ap90:apasidDAMtaH,2578:apasidDAMtaH:n:
ap90:apasKalaH,2592:apasKalaH:n:
ap90:apastama,2566:apastama:n:
ap90:apasparSa,2598:apasparSa:n:
ap90:apaspaSa,2596:apaspaSa:n:
ap90:apasmfti,2603:apasmfti:n:
ap90:apasya,2567:apasya:n:
ap90:apahatiH,2608:apahatiH:n:
ap90:apahan,2606:apahan:n:
ap90:apahartf,2622:apahartf:n:
ap90:apahala,2610:apahala:n:
ap90:apahAraka,2624:apahAraka:n:
ap90:apahf,2620:apahf:n:
ap90:apahnavaH,2627:apahnavaH:n:
ap90:apahnu,2626:apahnu:n:
ap90:apahnutiH,2628:apahnutiH:n:
ap90:apAM,2253:apAM:n:
ap90:apAkarizRu,2635:apAkarizRu:n:
ap90:apAkarman,2634:apAkarman:n:
ap90:apAkarman,2634:apAkarman:n:
ap90:apAkf,2632:apAkf:n:
ap90:apAc,2641:apAc:n:
ap90:apAcit,2316:apAcit:n:
ap90:apAmArjanaM,2659:apAmArjanaM:n:
ap90:apAMpitta,2657:apAMpitta:n:
ap90:apAyin,2747:apAyin:n:
ap90:apAra,2661:apAra:n:
ap90:apAvartanaM,2671:apAvartanaM:n:
ap90:apAvf,2667:apAvf:n:
ap90:apAvft,2670:apAvft:n:
ap90:apAvfta,2668:apAvfta:n:
ap90:apASraya,2675:apASraya:n:
ap90:apASri,2674:apASri:n:
