mci:kAyavya,2190:kAyavya:n:
mci:kAyavya,2190:kAyavya:n:
mci:kAyaSoDana,1109:kAyaSoDana:n:
mci:kAraskara,2191:kAraskara:n:
mci:kArApatana,1112:kArApatana:n:
mci:kArtayuga,864:kArtayuga:n:
mci:kArtikeyasya,1113:kArtikeyasya:n:
mci:kArttikI,866:kArttikI:n:
mci:kArpAsika,2193:kArpAsika:n:
mci:kArzRa,683:kArzRa:n:
mci:kAlakUwa,1114:kAlakUwa:n:
mci:kAladantaka,65:kAladantaka:n:
mci:kAlaparvata,1117:kAlaparvata:n:
mci:kAlamuKa,2197:kAlamuKa:n:
mci:kAlaSEla,1119:kAlaSEla:n:
mci:kAlikASrama,1887:kAlikASrama:n:
mci:kAlikAsaMgama,1121:kAlikAsaMgama:n:
mci:kAlIyaka,68:kAlIyaka:n:
mci:kAloda,1123:kAloda:n:
mci:kASi,2199:kASi:n:
mci:kASinagarI,1888:kASinagarI:n:
mci:kASyapi,70:kASyapi:n:
mci:kAzWavant,1126:kAzWavant:n:
mci:kiMkara,471:kiMkara:n:
mci:kiNkiRIkASrama,1890:kiNkiRIkASrama:n:
mci:kiNkiRIkASrama,1890:kiNkiRIkASrama:n:
mci:kiNkIRikASrama,1127:kiNkIRikASrama:n:
mci:kitava,2203:kitava:n:
mci:kiMdatta,1129:kiMdatta:n:
mci:kirmIravaDa,684:kirmIravaDa:n:
mci:kizkinDA,1891:kizkinDA:n:
mci:kukura,72:kukura:n:
mci:kukkura,2209:kukkura:n:
mci:kukkuSa,2210:kukkuSa:n:
mci:kukzimant,1131:kukzimant:n:
mci:kuYjara,73:kuYjara:n:
mci:kuwwa,2211:kuwwa:n:
mci:kuWAramuKa,74:kuWAramuKa:n:
mci:kuRapa,2212:kuRapa:n:
mci:kuRqalaDara,76:kuRqalaDara:n:
mci:kuRqalA,1133:kuRqalA:n:
mci:kuRqalin,77:kuRqalin:n:
mci:kuRqina,1892:kuRqina:n:
mci:kuRqIviza,2214:kuRqIviza:n:
mci:kuRqoda,1134:kuRqoda:n:
mci:kuRqodara,78:kuRqodara:n:
mci:kunawa,2215:kunawa:n:
mci:kundamAna,2220:kundamAna:n:
mci:kuberanalinI,1135:kuberanalinI:n:
mci:kumAraka,81:kumAraka:n:
mci:kumArakowi,1137:kumArakowi:n:
mci:kumAravizaya,2221:kumAravizaya:n:
mci:kumArikARAM,1139:kumArikARAM:n:
mci:kumudAkza,86:kumudAkza:n:
mci:kumudottara,2222:kumudottara:n:
mci:kumudottara,2222:kumudottara:n:
mci:kumBakarRASrama,1893:kumBakarRASrama:n:
mci:kurara,87:kurara:n:
mci:kuru,2225:kuru:n:
mci:kuru,2225:kuru:n:
mci:kurukzetra,1144:kurukzetra:n:
mci:kurujANgala,2227:kurujANgala:n:
mci:kurutIrTa,1146:kurutIrTa:n:
mci:kulaka,2228:kulaka:n:
mci:kulaMpuna,1147:kulaMpuna:n:
mci:kulika,88:kulika:n:
mci:kulinda,2229:kulinda:n:
mci:kuliSa,472:kuliSa:n:
mci:kulUta,2231:kulUta:n:
mci:kulUta,2231:kulUta:n:
mci:kulyA,1148:kulyA:n:
mci:kuSaka,89:kuSaka:n:
mci:kuSadvIpa,2232:kuSadvIpa:n:
mci:kuSadvIpa,2232:kuSadvIpa:n:
mci:kuSaDArA,1149:kuSaDArA:n:
mci:kuSala,2234:kuSala:n:
mci:kuSavati,1895:kuSavati:n:
mci:kuSavati,1895:kuSavati:n:
mci:kuSavant,1151:kuSavant:n:
mci:kuSasTalI,1897:kuSasTalI:n:
mci:kuSAvarta,1153:kuSAvarta:n:
mci:kuSika,2236:kuSika:n:
mci:kuSeSaya,1154:kuSeSaya:n:
mci:kuhU,867:kuhU:n:
mci:kUpa,1156:kUpa:n:
mci:kUrma,90:kUrma:n:
mci:kfta,868:kfta:n:
mci:kfta,868:kfta:n:
mci:kftaSOca,1158:kftaSOca:n:
mci:kfttikA,869:kfttikA:n:
mci:kfttikANgAraka,1159:kfttikANgAraka:n:
mci:kfttikAnAm,1898:kfttikAnAm:n:
mci:kfttikAmaGayos,1160:kfttikAmaGayos:n:
mci:kfzRa,92:kfzRa:n:
mci:kfzRaveRRA,1163:kfzRaveRRA:n:
mci:ketumAla,2241:ketumAla:n:
mci:ketumAlA,1165:ketumAlA:n:
mci:kerala,2242:kerala:n:
mci:kesara,1166:kesara:n:
mci:kesarin,93:kesarin:n:
mci:kEkaya,2243:kEkaya:n:
mci:kErAta,687:kErAta:n:
mci:kElAsa,1168:kElAsa:n:
mci:kElAsaka,94:kElAsaka:n:
mci:kESika,473:kESika:n:
mci:kESika,473:kESika:n:
mci:kokanada,2245:kokanada:n:
mci:kokanada,2245:kokanada:n:
mci:kokA,1169:kokA:n:
mci:kowika,96:kowika:n:
mci:kowitIrTa,1171:kowitIrTa:n:
mci:koRavega,99:koRavega:n:
mci:kopana,2247:kopana:n:
mci:kopana,2247:kopana:n:
mci:komaWaka,100:komaWaka:n:
mci:kollagira,2248:kollagira:n:
mci:kollagiri,1177:kollagiri:n:
mci:koSala,2250:koSala:n:
mci:koSalA,1899:koSalA:n:
mci:koSalA,1899:koSalA:n:
mci:koSeSvarasya,1178:koSeSvarasya:n:
mci:kosala,2251:kosala:n:
mci:kosalA,1900:kosalA:n:
mci:kOkura,2254:kOkura:n:
mci:kObera,1179:kObera:n:
mci:kOmudI,871:kOmudI:n:
mci:kOmodakI,474:kOmodakI:n:
mci:kOmodakI,474:kOmodakI:n:
mci:kOrava,2256:kOrava:n:
mci:kOrava,2256:kOrava:n:
mci:kOravya,101:kOravya:n:
mci:kOSika,2257:kOSika:n:
mci:kOSikasya,1182:kOSikasya:n:
mci:kOSIka,475:kOSIka:n:
mci:kOstuBa,2627:kOstuBa:n:
mci:kOstuBa,2627:kOstuBa:n:
mci:kraTaka,2259:kraTaka:n:
mci:kraTaka,2259:kraTaka:n:
mci:kraTana,104:kraTana:n:
mci:krOYca,476:krOYca:n:
mci:krOYcadvIpa,2260:krOYcadvIpa:n:
mci:krOYcadvIpa,2260:krOYcadvIpa:n:
