1-0581b:aNgasaMbanDin:74299,74306:an3ga-sambhava:aNgasamBava
1-0583a:aNgasOganDya:74470,74472:an3ga-sangandhya:aNgasanganDya
1-0583b:aNgaspfSa:74567,74568:an3ga-spr2s4:aNgaspfS
1-0586b:aNgAgnisaMKya:74915,74917:an3ga1gni-sa1n3khya:aNgAgnisANKya
1-0588a:aNgANgayapekzA:75130,75133:an3ga1n3gy-apeks2a1:aNgANgyapekzA
1-0588b:aNgAdikalpanA:75180,75182:an3ga1di1-kalpana1:aNgAdIkalpanA
1-0588b:aNgAdivakftya:75204,75205:an3ga1di-vaikr2tya:aNgAdivEkftya
1-0595b:aNgArakatIrTa:76073,76074:an3ga1raka1-ti1rtha:aNgArakAtIrTa
1-0597a:aNgArakuRqavat:76262,76263:an3ga1rakun2l2a-vat:aNgArakuRxavat
1-0597a:aNgArakozWI:76295,76297:an3ga1ra-kos2t2hi:aNgArakozWi
1-0597b:aNgAragranTika:76317,76318:an3ga1ragranthi1-ka:aNgAragranTIka
1-0599a:aNgAramaRi:76519,76520:an3ga1ra-man2i1:aNgAramaRI
1-0599b:aNgArarASisaMkASa:76577,76578:an3ga1ra1s4i-san3ka1s4a:aNgArASisaNkASa
1-0600b:aNgAravfzwisfzwi:76709,76710:an3gravr2s2t2i-sr2s2t2i:aNgravfzwisfzwi
1-0601b:aNgArAntara:76854,76856:an3ga1ra1ntar:aNgArAntar
1-0604b:aNgASrayopAsana:77229,77231:an3ga1s4rayopasa1na:aNgASrayopasAna
1-0606b:aNgibudDayudaya:77501,77503:an3gibuddhy-udaya:aNgibudDyudaya
1-0618b:aNgIcikIrzitatva:79049,79052:an3gi1cikirs2ita-tva:aNgIcikirzitatva
1-0620a:aNgulaDana:79194,79195:an3gula-ghana:aNgulaGana
1-0620b:aNgulamayahAra:79304,79305:an3gulamaya-s4ara:aNgulamayaSara
1-0622a:aNgulAgrocca:79450,79452:an3gu1la1grocca:aNgUlAgrocca
1-0624b:aNgulidaDna:79815,79816:an3guli-daghna:aNgulidaGna
1-0626b:aNgulipraveSana:80049,80051:an3guli-praves4an2a:aNgulipraveSaRa
1-0628a:aNguliSasraka:80227,80229:an3gulis4astra-ka:aNguliSastraka
1-0628a:aNgulisaMdaMSa:80276,80277:an3guli-sand2am3s4a:aNgulisanqaMSa
1-0633a:aNgulIviMSatikiyA:80887,80889:an3guli1-vim3s4atikriya1:aNgulIviMSatikriyA
1-0633b:aNgulISarIrAntarAla:80927,80928:an3guli1s4arira1ntara1la:aNgulISarirAntarAla
1-0634a:aNgulotsebasaMyukta:80993,80994:an3gulotsedha-sam3yukta:aNgulotseDasaMyukta
1-0636a:aNgulyAyAma:81279,81280:an3guly-a1ya1m:aNgulyAyAm
1-0638a:aNguzwaja:81515,81516:an3gus2t2ha-ja:aNguzWaja
1-0638a:aNguzwadvitaya:81549,81552:an3gus2t2ha-dvitaya:aNguzWadvitaya
1-0638b:aNguzwanizpIqita:81583,81585:an3gus2t2ha-nis2pi1d2ita:aNguzWanizpIqita
1-0638b:aNguzwaparipIqitA:81590,81592:an3gus2t2ha-paripi1d2ita1:aNguzWaparipIqitA
1-0638b:aNguzwaparimARaka:81607,81611:an3gus2t2haparima1n2a-ka:aNguzWaparimARaka
1-0638b:aNguzwaparimARavattva:81619,81621:an3gus2t2haparima1n2avat-tva:aNguzWaparimARavattva
1-0639b:aNguzwapUrva:81737,81739:an3gus2t2ha-pu1rva:aNguzWapUrva
1-0640b:aNguzwamaDyamAyoga:81822,81824:an3gus2t2hamadhyama1-yoga:aNguzWamaDyamAyoga
1-0640b:aNguzwamantra:81825,81829:an3gus2t2ha-mantra:aNguzWamantra
1-0641b:aNguzwamAtrapramita:81962,81964:an3gus2t2hama1tra-pramita:aNguzWamAtrapramita
1-0642b:aNguzwalakzaRa:82114,82117:an3gus2t2ha-laks2an2a:aNguzWalakzaRa
1-0642b:aNguvfvarjitA:82124,82126:an3gus2t2ha-varjita1:aNguzWavarjitA
1-0644b:aNguzwAdiniveSana:82348,82350:an3gus2t2ha1di-nives4ana:aNguzWAdiniveSana
1-0645b:aNgoYcatA:82508,82510:an3gocca-ta1:aNgoccatA
1-0646a:aNgoDdUlanarUpa:82552,82554:an3goddhu1lana-ru1pa:aNgodDUlanarUpa
1-0649a:aNGriDAtana:82951,82953:an3ghri-gha1tana:aNGriGAtana
1-0652a:aNGraya:83308,83308:an3ghrya:aNGrya
1-0652a:aNyanta:83346,83349:a-n3gyanta:aNgyanta
1-0654b:acaNkramaRaSIla:83631,83634:a-can3kraman2as4ila:acaNkramaRaSila
1-0655a:acaRqavIravratin:83709,83711:acan2d2a-viravratin:acaRqaviravratin
1-0656a:acandrapAQA:83810,83811:a-candrapa1da1:acandrapAdA
