bhs:अकम्पिय,14:अकम्पिय:n:पिय्
sch:प्रोल्लास,19882:प्रोल्लास:n:ओल्ल्
mw:प्रोल्लासित,141301:प्रोल्लासित:n:ओल्ल्
vcp:फलेच्छुक,35149:फलेच्छुक:n:छुक्
acc:बन्दीमोचनमहागणपतिस्तोत्रकवच,45046:बन्दीमोचनमहागणपतिस्तोत्रकवच:n:ईमो
mw:बल्युपख्यान,143405:बल्युपख्यान:n:ल्यु
pw:बल्युपहार,76128:बल्युपहार:n:ल्यु
acc:ब्रह्मवल्ल्युपनिषद्,15372:ब्रह्मवल्ल्युपनिषद्:n:ल्यु,ल्ल्य्
acc:भक्तगीताटिका,15490:भक्तगीताटिका:n:ताट्
mw:भक्तगीताटीका,147617:भक्तगीताटीका:n:ताट्
mw:भर्तृशोकपरीताङ्गिन्,148841:भर्तृशोकपरीताङ्गिन्:n:तृश्
vcp:भिन्नविट्का,36562:भिन्नविट्का:n:इट्क्
pwg:भैषज्यगुरुवैदूर्यप्रभा,55793:भैषज्यगुरुवैदूर्यप्रभा:n:उवै
ccs:मखाशभाज्,17782:मखाशभाज्:n:खाश्
bhs:मणिचक्रविचित्रप्रतिमण्डितव्यूहा,11436:मणिचक्रविचित्रप्रतिमण्डितव्यूहा:n:णिच्,ऊहा
acc:मदालसोल्लापन,35424:मदालसोल्लापन:n:ओल्ल्,सोल्
sch:मधूषिका,21101:मधूषिका:n:धूष्
sch:मम्माणीय,21243:मम्माणीय:n:म्मा
mw:महानदीसागरसंगम,159831:महानदीसागरसंगम:n:ईसा
acc:मुक्तावलीव्याप्तिवादटीका,31200:मुक्तावलीव्याप्तिवादटीका:n:दट्
mw:मेघगर्जना,167537:मेघगर्जना:n:घग्
pui:मेषकीरिटकायनस्,11065:मेषकीरिटकायनस्:n:रिट्
bhs:मोट्टिक,12324:मोट्टिक:n:ओट्ट्
bur:मोलयामि,13644:मोलयामि:n:मोल्
pui:युजाजित्,11312:युजाजित्:n:जाज्
acc:यौवनोल्लास,18832:यौवनोल्लास:n:ओल्ल्
acc:रघुदेवन्यायालंकारभट्टाचार्य,18848:रघुदेवन्यायालंकारभट्टाचार्य:n:घुद्
mw:रसोल्लासा,175817:रसोल्लासा:n:ओल्ल्,सोल्
acc:रामनाममहिमोल्लास,46204:रामनाममहिमोल्लास:n:ओल्ल्,मोल्
mw:रामायणकूटटीका,177662:रामायणकूटटीका:n:टट्
acc:रायवोल्लास,19531:रायवोल्लास:n:वोल्,ओल्ल्
mw:रूपाभिग्राहित,179197:रूपाभिग्राहित:n:पाभ्
