mw:शिष्टाणुशिष्ट,218135.1:शिष्टाणुशिष्ट:n:णुश्
sch:शीतांशूपल,25118:शीतांशूपल:n:शूप्
bhs:शेखयति,15175:शेखयति:n:खय्
bhs:श्यामावर्ता,15233:श्यामावर्ता:n:र्ता
pw:श्रीकण्ठकण्ठीय्,115039:श्रीकण्ठकण्ठीय्:n:ठीय्
pui:श्रुतकीर्ती,14950:श्रुतकीर्ती:n:र्ती
vei:श्रुषवाह्नेय,3383:श्रुषवाह्नेय:n:ह्ने
ben:श्रूयमालत्व,15028:श्रूयमालत्व:n:रूय्
mw72:श्लाघित्वा,47521:श्लाघित्वा:n:घित्
sch:षड्वार्षिकमह,25473:षड्वार्षिकमह:n:ड्वा
mw72:ष्ठ्यूत्वा,47708:ष्ठ्यूत्वा:n:ऊत्व्
acc:संविदेकत्वानुमाननिरास,38213:संविदेकत्वानुमाननिरास:n:देक्
bur:संसिस्मये,18306:संसिस्मये:n:सिस्
mw:संसोध्य,226625:संसोध्य:n:सोध्
inm:सङ्क्षेप्तृ,9492:सङ्क्षेप्तृ:n:एप्त्
bur:सन्तृप्नोमि,17488:सन्तृप्नोमि:n:प्नो
mw72:सन्देघ,49175:सन्देघ:n:देघ्
acc:संन्यासिसंस्कार,38367:संन्यासिसंस्कार:n:सिस्
bhs:समन्तविघुष्टकीर्तिध्वज,15926:समन्तविघुष्टकीर्तिध्वज:n:इघु
pwg:समासमाविनाभावौ,105716:समासमाविनाभावौ:n:आवौ
bur:सम्वर्धे,18104:सम्वर्धे:n:र्धे
acc:सर्वपृष्ठाप्तोर्यामसामानि,27454:सर्वपृष्ठाप्तोर्यामसामानि:n:ठाप्
inm:सर्वयोगविनिःसृत,9669:सर्वयोगविनिःसृत:n:ःसृ
pwg:सवर्धु,105147:सवर्धु:n:र्धु
ccs:सहस्रमूष्क,27114:सहस्रमूष्क:n:ऊष्क्
mw:सहैकस्थन,240381:सहैकस्थन:n:हैक्
mw:सागरबुद्धिधार्यभिज्ञगुप्त,241125:सागरबुद्धिधार्यभिज्ञगुप्त:n:ञग्
cae:साजीवीपुत्र,36499:साजीवीपुत्र:n:साज्
bhs:साभीयति,16692:साभीयति:n:भीय्
acc:साम्बाजी,41525:साम्बाजी:n:बाज्
bhs:सालेखिक,16755:सालेखिक:n:एखि
pw:सिंहसैन,124928:सिंहसैन:n:असै
bur:सिसङ्क्षामि,18577:सिसङ्क्षामि:n:सिस्
bur:सिसर्मि,18578:सिसर्मि:n:सिस्
bur:सिससिषामि,18579:सिससिषामि:n:सिस्
bur:सिसहिषे,18580:सिसहिषे:n:सिस्
sch:सिसाधयिषिता,26592:सिसाधयिषिता:n:सिस्
bur:सिसीर्षामि,18582:सिसीर्षामि:n:सिस्
bur:सिसेविषामि,18586:सिसेविषामि:n:सिस्
bur:सिसेविषे,18587:सिसेविषे:n:सिस्
bur:सिस्नासामि,18588:सिस्नासामि:n:सिस्
