md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
acc:जगन्मातृभक्तिप्रयोग,43479:जगन्मातृभक्तिप्रयोग:n:ऋभ
acc:जङ्गमशिवपूजाक्रम,7732:जङ्गमशिवपूजाक्रम:n:जाक्
acc:जटावबोधिनी,7744:जटावबोधिनी:n:टाव्
sch:जनकभुवन्,13652:जनकभुवन्:n:कभ्
mw:जनार्थशब्द,76837:जनार्थशब्द:n:थश्
bhs:जलागमा,6527:जलागमा:n:लाग्
mw:जलाध्यक्ष,78167:जलाध्यक्ष:n:लाध्
acc:जानक्यानन्दबोधन,8073:जानक्यानन्दबोधन:n:दब्
skd:जायी,13593:जायी:n:आयी
bhs:जायेन्द्र,6597:जायेन्द्र:n:आये
vcp:जास्कमद,21193:जास्कमद:n:जास्
ccs:जास्पन्य,7687:जास्पन्य:n:जास्
acc:जीवत्पितृकभागव्यस्था,33132:जीवत्पितृकभागव्यस्था:n:कभ्
acc:ज्ञानानन्दकलाधरसेन,8270:ज्ञानानन्दकलाधरसेन:n:लाध्
bhs:ज्ञानोद्गत,6715:ज्ञानोद्गत:n:आनो
mw:ज्योतीरथा,80801:ज्योतीरथा:n:ओती
sch:ज्योतीरसाश्मन्,14042:ज्योतीरसाश्मन्:n:ओती
bhs:ज्वलनशिरीश,6746:ज्वलनशिरीश:n:रीश्
acc:ठाकुरदासविलास,40047:ठाकुरदासविलास:n:ठाक्
yat:डत्करिका,6099:डत्करिका:n:डत्
yat:डत्कुण,6115:डत्कुण:n:डत्
acc:डामरेश्वरतन्त्रे,8449:डामरेश्वरतन्त्रे:n:रेश्
sch:तडतडायते,14194:तडतडायते:n:डत्
sch:तडत्तडिति,14195:तडत्तडिति:n:डत्
acc:तडागादिविधि,8488:तडागादिविधि:n:गाद्
acc:तडागाद्युद्यापनविधि,8489:तडागाद्युद्यापनविधि:n:गाद्
sch:तण्डुलकुसुमवलिविकार,14202:तण्डुलकुसुमवलिविकार:n:लिव्
acc:तत्त्वन्यायसुधाटीका,8570:तत्त्वन्यायसुधाटीका:n:धाट्
acc:तत्त्वरक्षाविधान,43663:तत्त्वरक्षाविधान:n:षाव्
bhs:तथागतकुलगोत्रोद्गत,6811:तथागतकुलगोत्रोद्गत:n:थाग्
bhs:तथागतगुह्यसूत्र,6815:तथागतगुह्यसूत्र:n:थाग्
bhs:तथागतज्ञानमुद्रासमाधि,6816:तथागतज्ञानमुद्रासमाधि:n:थाग्
bhs:तथागताचिन्त्यगुह्यनिर्देश,6821:तथागताचिन्त्यगुह्यनिर्देश:n:थाग्,ताच्
bhs:तथागतोत्पत्तिसंभवनिर्देश,6822:तथागतोत्पत्तिसंभवनिर्देश:n:थाग्
bhs:तरुणार्कभानु,6874:तरुणार्कभानु:n:कभ्
skd:तरुशायी,14521:तरुशायी:n:आयी
acc:तर्कखण्डनव्याख्या,8782:तर्कखण्डनव्याख्या:n:कख्
acc:ताजिकभावविचार,8878:ताजिकभावविचार:n:कभ्
vcp:तान्तुवायि,22462:तान्तुवायि:n:तुव्
acc:ताराषडङ्गन्यास,8976:ताराषडङ्गन्यास:n:षड्
sch:तारेश्वर,14509:तारेश्वर:n:रेश्
vcp:तालीशाद्यमोदक,22673:तालीशाद्यमोदक:n:ईशा
acc:तीर्थानुक्रमणिका,43772:तीर्थानुक्रमणिका:n:र्था
bur:तुग्म,8001:तुग्म:n:तुग्
acc:तुङ्गाद्रिमाहात्म्य,9125:तुङ्गाद्रिमाहात्म्य:n:गाद्
bhs:तुण्डतुरिक,7000:तुण्डतुरिक:n:डत्
acc:तुरजासहस्त्रनामन्,9132:तुरजासहस्त्रनामन्:n:जास्
acc:तुलजासहस्रनामन्,9139:तुलजासहस्रनामन्:n:जास्
acc:तुलजासहस्रनामस्तोत्र,43777:तुलजासहस्रनामस्तोत्र:n:जास्
