shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
acc:मङ्गलार्थषट्क,40654:मङ्गलार्थषट्क:n:थष्
bhs:मनेसी,11552:मनेसी:n:एसी
acc:मन्त्रपारायणेविद्यार्थदीपिका,16846:मन्त्रपारायणेविद्यार्थदीपिका:n:णेव्
ben:मयूस्व,11001:मयूस्व:n:यूस्
yat:मरणाभिभुख,29137:मरणाभिभुख:n:भुख्
wil:महामैच,29922:महामैच:n:मैच्
acc:महाराजश्यामसाहृशङ्कर,25774:महाराजश्यामसाहृशङ्कर:n:हृश्
cae:महीघ्र,24427:महीघ्र:n:हीघ्
pui:माण्ड्व्य,10566:माण्ड्व्य:n:ड्व्य्
acc:माथुरीक्रोडटीकान्यायरत्न,17536:माथुरीक्रोडटीकान्यायरत्न:n:डट्
pui:माथैल्य,10596:माथैल्य:n:आथै,थैल्
pui:मुखेविला,10840:मुखेविला:n:खेव्
acc:मुहूर्तकल्पद्रुमोयसंक्रान्तिसंज्ञकुसुम,35811:मुहूर्तकल्पद्रुमोयसंक्रान्तिसंज्ञकुसुम:n:मोय्
ccs:मृढानी,19161:मृढानी:n:मृढ्
ccs:मृदुदृदय,19209:मृदुदृदय:n:दृद्
shs:मृषाघादिन्,32055:मृषाघादिन्:n:घाद्
ccs:मृसाज्ञान,19224:मृसाज्ञान:n:मृस्
mci:मेद्रथा,1563:मेद्रथा:n:एद्र्
pui:मेर्हातिथि,11031:मेर्हातिथि:n:एर्ह्
pw:मौट्य,89175:मौट्य:n:मौट्
cae:मौध्य,25476:मौध्य:n:मौध्
stc:याचञा,17123:याचञा:n:अञा
md:यासीष्ट,14846:यासीष्ट:n:सीष्
pw:युवद्धेवत्य,91188:युवद्धेवत्य:n:धेव्
shs:रक्तपोस्त,32946:रक्तपोस्त:n:पोस्
bhs:रत्नशिखरार्चिःपर्वतप्रदीप,12664:रत्नशिखरार्चिःपर्वतप्रदीप:n:चिः
bhs:रत्नार्चिःपर्वत,12690:रत्नार्चिःपर्वत:n:चिः
bhs:रत्नार्चिःपर्वतश्रीतेज,12691:रत्नार्चिःपर्वतश्रीतेज:n:चिः
acc:रामजीसेन,20041:रामजीसेन:n:जीस्
pui:रौध्रस्,11844:रौध्रस्:n:औध्र्
pe:रौभ्य,5708:रौभ्य:n:औभ्य्
mw72:रौमशिय,39970:रौमशिय:n:शिय्
ccs:लठिन,4241:लठिन:n:लठ्
mw72:ललिथ,40213:ललिथ:n:लिथ्
pui:लवणोगण,11934:लवणोगण:n:णोग्
cae:लवणोधि,27516:लवणोधि:n:णोध्
bhs:लवुरुक,12973:लवुरुक:n:अवु
bur:लिलेखिषामि,14494:लिलेखिषामि:n:खिष्
bhs:लोढक,13092:लोढक:n:लोढ्
yat:लोढा,32571:लोढा:n:लोढ्
pui:लोहेयी,12046:लोहेयी:n:ओहे
acc:वगलामुखीत्रैलोक्यविजयकवचेश,46430:वगलामुखीत्रैलोक्यविजयकवचेश:n:खीत्
bhs:वज्रार्चिःश्रीवत्सालंकारगर्भ,13210:वज्रार्चिःश्रीवत्सालंकारगर्भ:n:चिः
bhs:वरलक्षणःशिरि,13295:वरलक्षणःशिरि:n:णः
acc:वर्खेडितिम्मण्ण,9060:वर्खेडितिम्मण्ण:n:र्खे
pwg:वर्णर्पुष्प,88444:वर्णर्पुष्प:n:र्पु
acc:वाञ्छेश्वरहोशनिकर्णाटक,21769:वाञ्छेश्वरहोशनिकर्णाटक:n:होश्
shs:वाठ्या,35792:वाठ्या:n:वाठ्
pui:वाडोहलि,12124:वाडोहलि:n:डोह्
vcp:वामलोवना,41100:वामलोवना:n:लोव्
sch:वारणबूसा,23525:वारणबूसा:n:ऊसा
sch:वारणवुसा,23526:वारणवुसा:n:अवु,वुस्
bur:वाव्रज्मि,15118:वाव्रज्मि:n:ज्मि
bhs:वाशीचन्दनकल्प,13562:वाशीचन्दनकल्प:n:शीच्
pui:वासिख्यस्,12653:वासिख्यस्:n:सिख्
bhs:वासीचन्दनकल्प,13578:वासीचन्दनकल्प:n:सीच्
acc:विटुठलनाथ,46617:विटुठलनाथ:n:इटु,टुठ्
bur:विधूनोमि,15455:विधूनोमि:n:ऊनो
shs:विधेपद,36845:विधेपद:n:धेप्
ccs:विप्रतिबेध,22616:विप्रतिबेध:n:बेध्
acc:विवाहेसंदेहदोषौषध,41138:विवाहेसंदेहदोषौषध:n:ओषौ,हेस्
pui:विश्वशृजस्,13244:विश्वशृजस्:n:शृज्
bur:विष्कभ्नोमि,15882:विष्कभ्नोमि:n:भ्नो
bur:विस्तभ्नोमि,15922:विस्तभ्नोमि:n:भ्नो
ccs:विस्तीर्धा,23165:विस्तीर्धा:n:ईर्ध्
inm:वुद्वुदा,12391:वुद्वुदा:n:द्वु
sch:वृन्दाटवी,24384:वृन्दाटवी:n:दाट्
pui:वैणोय,13651:वैणोय:n:णोय्,ऐणो
pui:वैष्ठिय,13788:वैष्ठिय:n:ठिय्
ccs:वैहूल्य,23671:वैहूल्य:n:ऐहू
ap90:वोगिन्,26910:वोगिन्:n:वोग्
vcp:वोशि,42584:वोशि:n:वोश्
